@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" favorite love nothing ", P
" cheap love why ", P
"  ", P
" great love stupid ", P
" enjoyed love loved why ", P
" great love ", P
" bad stupid ", P
" loved minutes plot today ", P
"  ", P
" favorite love ", P
" great love ", P
" beautiful minutes well ", P
" strong ", P
"  ", P
" love well ", P
"  ", P
" boring brilliantly ", P
"  ", P
" bother great ", P
"  ", P
" enjoyed ", P
" beautifully ", P
"  ", P
" beautiful favorite great minutes perfectly plot ", P
" favorite well ", P
" different great loved script well why ", P
" different great love rubbish why ", P
"  ", P
" bad great horrible love supposed well why ", P
" forgettable ", P
" different great why ", P
" enjoyed great nothing ", P
" annoying well ", P
" great loved ", P
" nothing well ", P
" well ", P
" great why wonderful ", P
" avoid different love perfectly predictable script well ", P
" different great love ", P
" beautiful different love well ", P
" beautiful different great stupid well ", P
" enjoyed excellent great well ", P
" enjoyed fantastic great script terrible well ", P
" great wonderful worse ", P
" beautiful ", P
" love ", P
" great worse ", P
" decent horrible ridiculous well ", P
" bad excellent love ", P
" boring cheap excellent love plot script ", P
" crap nothing predictable today ", P
" favorite love ", P
" bad different great love minutes nothing well ", P
" script ", P
" different love loved ", P
" amazing bad couldnt different love script supposed well why ", P
" excellent love well ", P
" amazing ", P
" amazing excellent great well ", P
" different skip ", P
"  ", P
" bad bother brilliantly love nothing why ", P
" beautiful love ", P
" love ", P
" amazing great ", P
" couldnt great love minutes supposed why ", P
" nothing plot ", P
" great strong supposed well ", P
" boring crap plot script well ", P
" worst ", P
" perfectly well ", P
" today ", P
" excellent script ", P
" favorite great love plot strong why ", P
" well ", P
" wonderful ", P
" love ", P
" different ", P
" different disaster outstanding poor ridiculous well ", P
" well ", P
" terrific wonderful ", P
" predictable ", P
"  ", P
" beautiful love well ", P
" great plot well ", P
" excellent favorite supposed ", P
" different well wooden ", P
" different love minutes nothing plot ", P
" great love script ", P
" awful finest ", P
" great plot ", P
" annoying plot strong touched well why ", P
" well ", P
" favorite love plot well ", P
" nothing poorly well wonderful ", P
" love stupid ", P
" different excellent love plot predictable script terrific well why wonderful ", P
" favorite love plot ", P
" beautifully decent favorite great love loved terrific why ", P
" great love terrific ", P
" amazing different stupid well why ", P
" awful love well ", P
" great love nothing script well ", P
" different why worse ", P
" decent great laughable love plot sorry terrific well ", P
" bad love predictable why ", P
" bother crap great well ", P
" great stupid ", P
" great ", P
" excellent minutes plot predictable well ", P
" excellent great loved ", P
" bad dreadful excellent great loved ", P
" great well ", P
" enjoyed nothing waste well ", P
" crap why ", P
" bad great why ", P
" annoying nothing supposed well why ", P
" great plot well why ", P
" terrible ", P
" bad decent great nothing well ", P
" decent enjoyed ", P
" bad decent different perfectly predictable wooden ", P
" great ", P
" excellent ", P
" brilliantly ", P
" loved perfectly well ", P
" enjoyed great ", P
" different ", P
"  ", P
" great ", P
"  ", P
" love well ", P
" amazing excellent well ", P
" decent plot why ", P
" amazing beautiful brilliantly couldnt fantastic love ", P
" great ", P
"  ", P
" great ", P
" favorite outstanding why ", P
" bad boring bother finest great terrible well ", P
" finest ", P
" well ", P
" nothing ", P
" beautiful love loved outstanding perfectly rubbish superb touched ", P
" great well ", P
" enjoyed excellent fantastic nothing terrible why ", P
" great minutes wonderful ", P
" beautiful plot strong ", P
" bad great today ", P
" great outstanding terrific well ", P
" bad cheap excellent superb wonderful ", P
" beautiful different great love plot poor well why wooden ", P
" couldnt well why ", P
" nothing strong well why wonderful ", P
" amazing great ", P
" excellent poor script ", P
" different nothing worst ", P
" beautiful excellent love plot script well why ", P
" beautiful ", P
" bad decent different excellent great love minutes nothing plot strong terrible wasted ", P
" plot poor well ", P
" plot strong ", P
" love plot poor sorry well why ", P
" bad love nothing perfectly poor worse ", P
" amazing dreadful why ", P
" enjoyed great plot stupid ", P
" love well wonderful ", P
" amazing great minutes well ", P
" well ", P
" great well ", P
" brilliantly excellent great why ", P
" amazing beautiful different disaster excellent great love loved nothing strong touched why wonderful ", P
" different great supposed well wonderful ", P
" great loved perfectly poor script terrible well ", P
" bad enjoyed ", P
" annoying ", P
"  ", P
" great ", P
" boring great skip ", P
" bad couldnt fantastic great lame well worse ", P
" bad great ", P
" boring ", P
" beautiful boring wonderful ", P
" different great well ", P
" decent different none ", P
" strong ", P
" excellent great love loved trash well ", P
" bad loved outstanding well ", P
" boring different great ", P
"  ", P
" love stupid ", P
" different great ", P
" beautiful fantastic love loved ", P
" beautiful fantastic great ", P
" great ", P
" annoying enjoyed excellent poor today well ", P
" different love well wonderful ", P
" bad fantastic ", P
" couldnt excellent love ", P
" well ", P
" great ", P
" amazing beautifully ", P
" great well ", P
"  ", P
"  ", P
" enjoyed ", P
" great ", P
" bad today well why ", P
" bad excellent plot well ", P
"  ", P
" plot predictable ", P
" great nothing superb ", P
" plot ", P
" excellent favorite love today ", P
" script ", P
" bad great love poor well ", P
" love strong ", P
" bad love predictable supposed ", P
" enjoyed love ", P
" love ", P
" script ", P
" bad great love poor well ", P
" amazing love ", P
" beautiful loved ", P
" great love nothing ", P
" beautiful enjoyed ", P
" excellent love well why ", P
" fantastic love poor why ", P
" great love nothing ", P
" enjoyed ", P
" love plot poor strong today wonderful ", P
" beautiful love plot predictable strong supposed today well why ", P
" fantastic great today ", P
" love terrible ", P
" love ", P
" love touched ", P
" love well wonderful worse ", P
" beautiful love well ", P
" beautiful love today why ", P
" love ", P
" loved why ", P
" beautiful different sorry ", P
" couldnt love today well ", P
" love touched ", P
" great love nothing ", P
" beautiful great ", P
" bad love why ", P
" beautiful loved ", P
" today well ", P
" awful beautiful different great love script today ", P
" beautiful love loved today ", P
" love nothing ", P
" mildly nothing plot superb ", P
" couldnt different ", P
" why ", P
" decent great plot wonderful ", P
" finest great ", P
" boring great love predictable well why ", P
" plot ", P
" excellent love ", P
" plot stupid well ", P
" different great ", P
" why wonderful ", P
" great ", P
" love loved nothing ", P
" great nothing ", P
" beautiful great nothing plot predictable well ", P
" couldnt well ", P
" excellent great ", P
" awful great plot why ", P
" beautiful great love wonderful ", P
" different great well ", P
" plot ", P
" boring ", P
" beautifully nothing ", P
" different minutes ", P
" beautiful great plot script well ", P
" beautiful excellent favorite well wonderful ", P
" beautifully love ", P
" different great ", P
" beautiful none plot well ", P
" great ", P
" horrible ", P
" different plot script ", P
" decent enjoyed great love ", P
" different great plot well wonderful ", P
" bad fantastic love nothing poorly ", P
" amazing great outstanding superb ", P
" amazing plot wasted why ", P
" beautiful beautifully perfectly strong well ", P
" atrocious favorite terrific well why ", P
" different excellent great none nothing pathetic well ", P
" beautiful great terrific ", P
" amazing plot ", P
" amazing excellent superb well ", P
" different great poor well why ", P
" couldnt great poor ", P
" wasted worse ", P
" nothing ", P
"  ", P
" love ", P
" loved ", P
" different today well ", P
"  ", P
" excellent poor why ", P
" avoid bad crap love nothing ", P
" amazing beautifully script ", P
" enjoyed great ", P
"  ", P
" favorite ", P
"  ", P
" excellent well why wonderful ", P
" pointless well why ", P
" bad ridiculous ", P
" amazing none ", P
" plot ", P
" beautiful nothing plot superb wonderful ", P
" awful different great why ", P
" bad great loved poor well why worst ", P
" awful bad enjoyed plot ", P
" beautifully brilliantly favorite nothing script ", P
" great love poor ", P
"  ", P
" beautiful different love none ", P
" bad favorite ", P
" favorite plot ", P
" favorite why ", P
" different ", P
"  ", P
" fantastic well ", P
"  ", P
" great script ", P
" favorite ", P
" different love well ", P
" excellent favorite great love nothing perfectly plot well why ", P
" fails great plot strong why ", P
" beautiful well ", P
"  ", P
" avoid well why ", P
" great ", P
" bad lame love minutes script ", P
" excellent great ", P
" great ", P
" great love outstanding well ", P
" beautiful boring great love perfectly stupid wonderful ", P
" bad different great love worst ", P
" amazing boring different love well ", P
" great ", P
" fantastic great love poor well ", P
" well why ", P
" well ", P
" boring great minutes none plot ", P
" well ", P
" bad beautiful great laughable love script wonderful ", P
" excellent great well why ", P
" beautiful different great perfectly why ", P
" bad enjoyed fantastic minutes well ", P
" different minutes ", P
" amazing different why ", P
" love nothing ", P
" beautifully couldnt love perfectly today well ", P
" beautiful plot ", P
"  ", P
" none waste ", P
" different pointless ", P
"  ", P
" love ", P
" amazing different great love nothing why ", P
" great love well ", P
" great today ", P
" disaster well ", P
" horrible ", P
" bad plot well wonderful ", P
" different great minutes ", P
" amazing bad boring enjoyed excellent fails great love nothing plot script terrible ", P
" couldnt excellent great love ", P
" bad great nothing script superb wonderful ", P
" decent excellent terrific ", P
" different great touched well ", P
" minutes plot ", P
" love well ", P
" loved superb terrible ", P
" love today well ", P
" beautiful couldnt why ", P
" favorite great wonderful ", P
" different perfectly well ", P
" beautiful ", P
" bad poorly today why ", P
" beautiful favorite great nothing ", P
" loved superb today well ", P
" beautifully different ", P
" awful brilliantly couldnt great poorly why ", P
" couldnt plot superb ", P
" beautifully different strong terrific well ", P
" bad beautiful favorite sorry well ", P
" fantastic great love superb well why wonderful ", P
" bad excellent love loved plot well ", P
" great ", P
" beautiful favorite love well ", P
" bad great loved script ", P
"  ", P
" amazing great outstanding supposed ", P
" beautiful great ", P
" excellent great loved well ", P
" well wonderful ", P
" beautiful well ", P
" favorite well ", P
" favorite ", P
" bad fails great ", P
" great plot well ", P
" different excellent ", P
" beautiful nothing wonderful ", P
" decent great minutes plot today well why ", P
" great plot well ", P
" beautifully boring love why ", P
" beautiful great none why ", P
" favorite loved nothing ", P
" amazing beautifully great predictable strong ", P
"  ", P
" minutes ", P
" beautifully script well ", P
" minutes superb touched ", P
" excellent script well ", P
" enjoyed fantastic great love well ", P
" great well ", P
" beautiful beautifully great minutes none well ", P
" beautiful different great well ", P
" terrific well why ", P
" great well ", P
" plot ", P
" bad great ", P
" amazing beautiful great love ", P
" different great loved sorry ", P
" crap love ", P
" beautiful great love outstanding ", P
" different supposed ", P
"  ", P
"  ", P
" different supposed ", P
"  ", P
" bad great well ", P
"  ", P
" couldnt nothing ", P
" different enjoyed fantastic love strong ", P
" excellent fantastic great why ", P
"  ", P
" amazing fantastic love ", P
" different why wonderful ", P
" great script superb ", P
" fantastic ", P
" love well ", P
" bad great love wonderful ", P
" couldnt enjoyed excellent ", P
" well ", P
"  ", P
" couldnt favorite great love ", P
" love well why ", P
" well ", P
" excellent great ", P
" great loved well why ", P
" beautifully excellent great plot ", P
" great loved plot terrific ", P
" beautiful poorly touched ", P
" excellent great well ", P
" well ", P
" amazing ", P
" excellent love ", P
" great script ", P
"  ", P
" amazing great ", P
" enjoyed love predictable ", P
" great nothing ", P
" amazing love well ", P
" bad beautiful enjoyed well ", P
" bother different horrible love nothing ", P
" beautiful love ", P
" bad beautiful excellent forgettable ", P
" beautiful love nothing ", P
" beautifully pointless script well ", P
" amazing great nothing plot script wonderful ", P
" beautiful love nothing ", P
" couldnt great well ", P
" great nothing ", P
" great none ", P
" great worst ", P
" favorite ", P
" love ", P
" bad love ", P
" bad favorite great love strong ", P
"  ", P
" cheap different ", P
" great well ", P
" bad perfectly superb today ", P
" finest none ", P
" different ", P
" great love ", P
" beautiful love well wonderful ", P
" well ", P
" great nothing plot terrible ", P
" excellent perfectly superb well ", P
" great love wonderful ", P
"  ", P
" beautiful favorite love ", P
" annoying great ", P
" amazing love script stupid superb ", P
" nothing wonderful ", P
" love minutes ", P
" love why wonderful ", P
" beautiful favorite great love terrific ", P
" excellent favorite great ", P
" beautiful love well why ", P
" amazing great love why ", P
" minutes none stupid worst ", P
"  ", P
" enjoyed excellent great plot ", P
" excellent ", P
" different loved ", P
" excellent love nothing well ", P
" strong ", P
" loved ", P
" couldnt mildly nothing why ", P
" excellent ", P
" bad enjoyed minutes well ", P
" nothing superb supposed why ", P
" amazing different favorite love perfectly script well ", P
" beautiful enjoyed love rubbish script stupid well ", P
" great ", P
" excellent great ", P
" great ", P
" different ", P
" great ", P
" different fails love well ", P
" well ", P
" enjoyed fantastic ", P
" amazing beautiful ", P
" plot ", P
" plot ", P
" great sorry well ", P
" excellent fantastic great love rubbish script well ", P
" different loved why ", P
" couldnt well ", P
" bad crap excellent great today why ", P
" finest love outstanding strong wonderful ", P
" love ", P
" bad beautiful love ", P
" beautiful love well ", P
" bad beautiful beautifully great love loved script well ", P
" love ", P
" plot stupid well ", P
" enjoyed love ", P
" amazing great plot well ", P
" boring great nothing plot well ", P
" finest ", P
" plot script well ", P
" bad enjoyed love well ", P
" bad great love well ", P
" perfectly ", P
" great love plot script well ", P
" bad cheap excellent love well ", P
" love superb well ", P
" plot ", P
" enjoyed great ", P
"  ", P
" excellent great loved plot strong superb well ", P
" bad plot well ", P
" excellent great loved plot strong superb well ", P
" excellent great plot ", P
" love ", P
" excellent well wonderful ", P
" fantastic great sorry terrific ", P
" sorry ", P
" plot ", P
" why ", P
" predictable ", P
" great ", P
" annoying ", P
" amazing well ", P
" different excellent ", P
" excellent great ", P
" bad beautiful great loved well wonderful ", P
"  ", P
"  ", P
" enjoyed nothing touched ", P
" great ", P
" love ", P
" bad love outstanding well why ", P
" crap well ", P
" great plot script well ", P
" brilliantly excellent great minutes ", P
" excellent great love ", P
" beautiful finest painful superb ", P
" beautiful today ", P
" minutes well why ", P
" loved worst ", P
" different love ", P
" bad beautiful great terrific wonderful ", P
" beautifully plot terrific ", P
" great love ", P
" great laughable plot predictable ", P
" love ", P
" great ", P
" amazing beautiful excellent great plot ", P
" horrible love loved ", P
" bad plot predictable ", P
" finest great sorry ", P
" bad great strong wasted well ", P
" awful well ", P
" beautiful love minutes ", P
" decent excellent script well ", P
" bad different love pathetic poor well worse ", P
" today well ", P
" beautiful favorite love today wonderful ", P
" beautifully ", P
" awful beautiful love well ", P
" love plot ", P
" why ", P
" great loved wonderful ", P
"  ", P
" decent great love plot ", P
"  ", P
" well ", P
" bad ", P
" great ", P
" beautiful brilliantly great love superb ", P
"  ", P
" finest love ", P
" favorite ", P
" great perfectly today ", P
" excellent none nothing ", P
" nothing well ", P
"  ", P
" excellent plot script ", P
" bother love script supposed well ", P
" amazing enjoyed great love well ", P
" beautiful excellent great ", P
" great well ", P
" minutes ", P
" great ", P
"  ", P
" enjoyed great love today well ", P
" excellent loved wonderful ", P
"  ", P
"  ", P
" couldnt embarrassed great nothing ", P
" enjoyed excellent ", P
" amazing plot ", P
" today ", P
" love script ", P
" love plot touched well wonderful ", P
" plot ", P
" boring enjoyed great love well why ", P
" well why ", P
" couldnt enjoyed favorite loved plot well ", P
" love ", P
" boring different great nothing ", P
" excellent love ", P
" love ", P
" excellent outstanding script ", P
" couldnt ", P
"  ", P
" nothing ", P
" decent different great minutes well ", P
" great loved plot superb ", P
" great nothing ", P
"  ", P
" decent different great well ", P
" different ridiculous stupid why ", P
" great ", P
" different well ", P
" amazing bad minutes nothing plot ", P
" annoying plot well ", P
" different well why ", P
" predictable terrible well ", P
" different great nothing plot wasted why ", P
" beautiful decent poor well ", P
" great love loved well why wonderful ", P
" different minutes well ", P
" great perfectly ", P
" amazing beautiful beautifully excellent love loved outstanding today well why ", P
" great loved nothing well why ", P
"  ", P
" great love ", P
" excellent skip well ", P
" amazing beautiful different enjoyed great well ", P
" fantastic great love ", P
" great love ", P
" favorite love ", P
" great love ", P
" love well ", P
" beautiful excellent great perfectly plot superb well why ", P
" bad beautiful love script strong supposed ", P
" outstanding well ", P
" bad well ", P
" great ", P
" excellent love loved ", P
" amazing brilliantly different strong wonderful ", P
" strong ", P
" excellent ", P
" amazing beautiful different excellent great love loved nothing skip terrific well why ", P
" bad excellent great strong well ", P
" great minutes plot ", P
" nothing strong ", P
" enjoyed great why wonderful ", P
" great love ", P
" loved ", P
" loved ", P
" love loved wonderful ", P
" beautiful love loved ", P
" favorite great love script ", P
" love superb ", P
" enjoyed ", P
" beautifully great love poor wonderful ", P
" beautiful script well why ", P
" love well ", P
" painful well ", P
"  ", P
" finest great none nothing well ", P
" poor ", P
" great plot strong well ", P
"  ", P
" well ", P
" ridiculous superb well why ", P
" great ", P
" amateurish beautifully predictable strong why ", P
"  ", P
" outstanding well ", P
" amazing couldnt script terrible why ", P
" excellent fantastic outstanding why ", P
" couldnt great terrific well ", P
" decent great minutes strong supposed well why ", P
" excellent outstanding ", P
" favorite ", P
" poor sorry well ", P
"  ", P
" different love poor predictable why ", P
" great plot well ", P
" crap well ", P
"  ", P
" bad excellent great outstanding plot poor ", P
" bad excellent nothing ", P
" disaster plot well ", P
" well ", P
" boring different enjoyed strong well why ", P
" amazing beautiful excellent great pointless ", P
" different ", P
" excellent great love painful perfectly superb ", P
" why wonderful ", P
" loved why ", P
" different love predictable ", P
" beautiful ", P
" love ", P
" wonderful ", P
" great ", P
" bad fails favorite ", P
" beautiful ", P
" great plot predictable script well ", P
" annoying wonderful ", P
" beautiful favorite poor wonderful ", P
" great ", P
" different love well ", P
" amazing atrocious well ", P
" beautifully ", P
" couldnt different fantastic strong ", P
" great touched ", P
"  ", P
" beautifully love loved well ", P
"  ", P
" bad different love well ", P
" great well wonderful ", P
" touched ", P
" fantastic nothing ", P
" cheap excellent love script well ", P
" finest perfectly well why ", P
" great touched ", P
" amazing great love script superb today well wonderful ", P
" excellent well ", P
" favorite love superb well wonderful ", P
" beautiful great script why wonderful ", P
" cheap ", P
" different terrific ", P
" superb ", P
" bad poor stupid well ", P
" nothing well ", P
" excellent fantastic ", P
" different love poor script ", P
" great nothing plot strong waste ", P
" beautiful excellent love ridiculous wonderful ", P
" love well worst ", P
" amazing excellent great well ", P
" cheap decent different great love outstanding plot well ", P
" bad excellent well ", P
" amazing fantastic perfectly ", P
" fantastic favorite outstanding script well ", P
" amazing fails finest great wonderful ", P
" great love loved ", P
" bad cheap decent different plot predictable well ", P
" love outstanding plot ", P
"  ", P
" plot well ", P
" great ", P
" bad love ridiculous trash well wonderful ", P
" bother great none ", P
" plot stupid well worst ", P
"  ", P
" amazing bad different stupid supposed well ", P
" love plot ", P
" avoid plot ridiculous script well ", P
" brilliantly script well ", P
"  ", P
" love ", P
" couldnt nothing ", P
" amazing boring love worst ", P
" great strong supposed ", P
" well ", P
" love ", P
" boring great none well why worse ", P
" bad nothing ", P
" loved ", P
" great ", P
" great ", P
" beautiful ", P
" favorite great ", P
" beautiful beautifully excellent today ", P
" boring different great ", P
" love loved ", P
" why ", P
" different great minutes ", P
" excellent favorite great ", P
" excellent wonderful worst ", P
" amazing enjoyed great nothing why wonderful ", P
" annoying ", P
" bad great ", P
" couldnt love ", P
" great well ", P
"  ", P
"  ", P
" bad decent enjoyed great script ", P
"  ", P
" beautiful strong well wonderful ", P
" today ", P
" great well ", P
" great plot terrific well ", P
" decent terrific ", P
" great wooden ", P
" boring great plot terrible well ", P
" beautifully boring loved ", P
" minutes plot why ", P
" bad great minutes nothing plot well ", P
"  ", P
" beautifully great ", P
" beautiful excellent great strong well ", P
" amazing different love well ", P
"  ", P
" great script ", P
" bother plot terrible ", P
" excellent superb well ", P
" beautiful great well ", P
" love perfectly well ", P
" great wonderful ", P
" great strong ", P
" great ", P
" beautiful couldnt favorite love well ", P
"  ", P
" bad different favorite minutes none ", P
"  ", P
" avoid bad beautiful beautifully boring great love nothing perfectly plot pointless worst ", P
" beautifully different love loved outstanding supposed well why wonderful ", P
" amazing favorite great superb worse ", P
" bad beautiful different great plot predictable well worst ", P
" bad excellent script ", P
" bad plot well ", P
" beautiful plot well ", P
" different script wonderful ", P
" well ", P
" bad cheap excellent great poor well worse ", P
" nothing well ", P
" brilliantly great well ", P
" great ", P
" amazing different great superb well worst ", P
" bad great well ", P
" script well ", P
" bad couldnt great plot ", P
" bad perfectly script ", P
" bad different pathetic ", P
" great ", P
" bad beautiful brilliantly fantastic poorly well ", P
" bad different plot well wonderful ", P
" bad different pathetic ", P
" beautiful nothing terrific wonderful ", P
" excellent great outstanding script well ", P
" supposed ", P
" different great minutes plot today ", P
" different great ", P
" beautifully great script well ", P
" beautiful different excellent outstanding script well ", P
" atrocious bad great plot ", P
"  ", P
" bad great love minutes nothing outstanding well ", P
" excellent great outstanding wonderful ", P
" different ", P
" decent fantastic lame strong superb well ", P
" bad beautifully different ", P
" minutes ", P
" amazing nothing ", P
" beautiful none ", P
" outstanding ", P
" wonderful ", P
" beautiful superb well wonderful ", P
" well ", P
" beautiful great well ", P
" amazing beautiful wonderful ", P
" couldnt different great love loved minutes none ", P
" amazing excellent great well ", P
"  ", P
" beautiful enjoyed love nothing ", P
" great lame minutes well ", P
" enjoyed great love ", P
" beautiful love loved ", P
" beautiful enjoyed love terrific wonderful ", P
" beautiful wonderful ", P
" well ", P
" bad great love ", P
" annoying beautiful different love loved nothing pointless wonderful ", P
" amazing love today ", P
"  ", P
" beautiful fails great love ", P
" amazing beautifully love perfectly ", P
" painful redeeming superb well ", P
" bad beautiful great plot terrible ", P
" great ", P
" enjoyed ", P
" beautifully love predictable strong ", P
" bad favorite great plot ", P
" beautifully decent script worse ", P
" amazing ", P
" bad wonderful ", P
" bad different fantastic love nothing script superb ", P
" beautiful love superb wonderful ", P
" beautiful couldnt great ", P
" beautiful ", P
" love plot well ", P
" love loved predictable well ", P
" great love perfectly plot script superb ", P
" great love ", P
" beautiful excellent fantastic love superb terrific well wonderful ", P
"  ", P
" cheap love ", P
" redeeming well ", P
" enjoyed plot ", P
" enjoyed well ", P
" nothing wonderful ", P
" loved plot well ", P
" great ", P
" fails plot predictable script today well ", P
" enjoyed script ", P
" bad favorite great ", P
"  ", P
" bad cheap different excellent ridiculous well ", P
" beautiful love script wonderful ", P
" great ", P
" love well wonderful ", P
" different love ", P
" beautiful excellent fantastic love ", P
" great well ", P
"  ", P
" different great ", P
" beautiful ", P
" excellent plot well ", P
" strong today touched well ", P
" today ", P
" couldnt great plot wasted ", P
" wasted ", P
" decent why ", P
" annoying avoid ", P
" loved ", P
" excellent ", P
" bad great perfectly supposed ", P
"  ", P
" cheap great ", P
" bad beautifully love outstanding ", P
" enjoyed loved wonderful ", P
" beautiful excellent great wonderful ", P
" love minutes ", P
" beautiful different plot ", P
" beautiful beautifully different today ", P
" cheap different love plot ", P
" love perfectly ", P
" love perfectly script well wonderful ", P
" beautiful beautifully couldnt disaster embarrassed great love none poorly ", P
"  ", P
" great ", P
" beautiful beautifully favorite great loved ", P
" beautiful great love well ", P
" enjoyed loved well wonderful ", P
" love ", P
" avoid bad beautiful decent enjoyed love plot well ", P
" different love well ", P
" bad loved plot well ", P
" fails love plot ", P
" supposed ", P
" bad favorite outstanding ", P
" great love ", P
" amazing excellent ", P
" bad couldnt great love well ", P
" love well ", P
" love loved ", P
" awful great outstanding ", P
" great love why ", P
" love ", P
" great love wonderful ", P
" boring excellent great love trash why wonderful ", P
"  ", P
"  ", P
" amazing boring love minutes strong terrible ", P
" great love minutes well ", P
" excellent favorite finest love loved worst ", P
" love ", P
" enjoyed loved ", P
" well why wonderful ", P
" excellent love wonderful ", P
"  ", P
" beautiful different excellent fails great love nothing strong wasted well ", P
" beautiful beautifully great today well ", P
" great minutes plot why ", P
" different plot superb well ", P
" beautiful fantastic loved ", P
" enjoyed ", P
" great love well ", P
"  ", P
" couldnt favorite love ", P
" excellent great why wonderful ", P
" bad none plot script well ", P
" couldnt ", P
" cheap excellent great minutes nothing perfectly plot why ", P
" beautifully nothing strong wasted ", P
" finest superb ", P
" fantastic minutes perfectly ", P
" beautiful great ", P
" excellent great perfectly well ", P
" love ", P
" different love plot strong well ", P
" boring different rubbish ", P
" well ", P
" beautiful superb well ", P
" great well ", P
" boring favorite great loved script well ", P
" love minutes poor superb well ", P
" love minutes well ", P
" beautifully great love superb why ", P
" excellent great well ", P
" brilliantly great minutes poor ", P
" excellent great well ", P
" beautiful ", P
" today ", P
" amazing cheap excellent plot superb ", P
"  ", P
"  ", P
"  ", P
" love plot ", P
" amazing great ", P
" brilliantly excellent ", P
"  ", P
" disaster why ", P
" amazing boring couldnt minutes well why ", P
" none well why ", P
" beautiful excellent favorite finest great loved well why ", P
" fantastic plot ", P
" great love plot ", P
" great ", P
" great love today wonderful ", P
"  ", P
" love predictable ", P
" beautifully great love loved minutes ", P
" beautiful beautifully different enjoyed love plot ", P
" enjoyed great love well ", P
" fantastic loved ", P
" excellent love well ", P
" love ", P
" brilliantly great perfectly script ", P
" different enjoyed love nothing why ", P
" beautiful ", P
" beautiful different great love ", P
" amazing different love superb wonderful ", P
" beautiful beautifully great plot predictable wonderful ", P
" plot ", P
" beautiful decent enjoyed favorite why ", P
" excellent supposed ", P
"  ", P
" love mildly nothing ", P
" plot well ", P
" great laughable ", P
" loved superb well ", P
" loved ", P
" plot today well ", P
" bad why ", P
" excellent today ", P
" bad ", P
" love superb well ", P
" well ", P
"  ", P
" avoid bad favorite finest love plot well worse ", P
" stupid ", P
" amazing ", P
" amazing beautiful different nothing ", P
" atrocious favorite love nothing poor why ", P
" favorite nothing terrible ", P
" decent enjoyed stupid ", P
" love ", P
"  ", P
" painful ", P
" avoid nothing stupid well ", P
" great love ", P
" great lame nothing plot ", P
" minutes ", P
" nothing ", P
" great ", P
" loved strong ", P
" loved poor ", P
" beautiful ", P
" bad today ", P
" bad pointless well ", P
" great ", P
" great ", P
"  ", P
"  ", P
" fantastic love well ", P
" great ", P
" great minutes ", P
" great horrible minutes ridiculous well why worst ", P
" great ", P
" different excellent well ", P
" wonderful ", P
" great ", P
" excellent love strong well ", P
" well ", P
" amazing bad great minutes ", P
" great terrible today well why ", P
" great ", P
" couldnt great plot ", P
" couldnt great love minutes script superb today well why ", P
"  ", P
" stupid well ", P
"  ", P
" perfectly well ", P
" amazing beautiful ", P
" amazing beautifully love perfectly ", P
" different enjoyed ", P
" bad cheap different fantastic love minutes none nothing plot poor poorly predictable script sorry today why worst ", P
" awful different favorite plot ridiculous well why ", P
" great superb ", P
" enjoyed well why ", P
" great love plot well why ", P
"  ", P
" loved ", P
" excellent ", P
" great loved ", P
" bother love none nothing plot stupid well ", P
" nothing ", P
" well ", P
" excellent supposed ", P
" love well ", P
" enjoyed script ", P
" amazing bad ", P
" avoid bad brilliantly great plot predictable script skip well ", P
" bad strong well ", P
" different ", P
" couldnt different well ", P
" brilliantly different fails minutes superb today well wonderful ", P
" bad couldnt loved ", P
" bad well ", P
" love loved nothing ", P
" bad great strong stupid waste worst ", P
" different favorite loved ", P
" great ", P
" poor well ", P
" favorite great nothing ", P
"  ", P
" finest minutes well ", P
" different fails love ridiculous strong terrific well why ", P
" decent great none nothing well ", P
" excellent favorite well why ", P
" well ", P
" amazing fantastic great loved well ", P
" excellent favorite great love outstanding plot well ", P
" avoid nothing terrific worst ", P
"  ", P
" enjoyed ", P
" excellent ", P
" favorite great love loved ", P
" amazing beautiful fantastic plot terrific well ", P
" fantastic favorite ", P
" worse ", P
" terrific ", P
" bad plot strong well ", P
" well ", P
" great love ", P
" bad boring finest great script strong ", P
" great supposed ", P
" bad beautiful great love script well ", P
" favorite great perfectly ", P
"  ", P
" great superb why ", P
" favorite love loved ", P
" plot well ", P
" excellent ", P
" enjoyed fails great love loved ", P
" excellent great well ", P
" great plot ", P
" favorite great love why ", P
" fantastic favorite nothing why ", P
" couldnt great love well ", P
" bad beautiful great today ", P
" excellent great none plot strong well why ", P
" bad stupid ", P
" favorite well ", P
" bad favorite great poor well ", P
" beautiful terrific well ", P
" love ", P
" enjoyed great love loved terrific wonderful ", P
" great love stupid why ", P
" love ", P
" avoid different nothing ", P
" amazing loved today ", P
" plot well ", P
" love strong ", P
" love ", P
" plot redeeming ", P
" awful excellent love plot ", P
" bother love loved ", P
" bad excellent great ", P
" bad great well why ", P
" great today why ", P
" great terrific ", P
" enjoyed excellent ", P
" couldnt great ", P
" love poor well ", P
" excellent love nothing well ", P
" excellent favorite love ", P
" love ", P
" well ", P
" couldnt great love well why ", P
" great poor well ", P
" different love plot well ", P
" different favorite love supposed terrific well ", P
" great plot script well ", P
" great well wonderful ", P
"  ", P
"  ", P
" great well ", P
